"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"409","SGIG","Giant Sea Bass","Animalia","Chordata","Actinopterygii","Perciformes","Polyprionidae","Stereolepis","gigas","Stereolepis gigas","WoRMS","282884"
"413","SGUT","California Scorpionfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","guttata","Scorpaena guttata","WoRMS","274713"
"417","SHOP","Squarespot Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","hopkinsi","Sebastes hopkinsi","WoRMS","274800"
"421","SJAP","Pacific Mackerel, Greenback Mackerel","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","japonicus","Scomber japonicus","WoRMS","127022"
"425","SLAL","Yellowtail","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","lalandi","Seriola lalandi","WoRMS","218436"
"429","SLUC","California Lizardfish","Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus","lucioceps","Synodus lucioceps","WoRMS","272132"
"431","SMAL","Quillback Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","maliger","Sebastes maliger","WoRMS","274815"
"433","SMAR","Cabezon","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus","WoRMS","282726"
"437","SMEL","Black Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","melanops","Sebastes melanops","WoRMS","274817"
"440","SMIN","Vermilion Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","miniatus","Sebastes miniatus","WoRMS","274820"
"444","SMYS","Blue Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","mystinus","Sebastes mystinus","WoRMS","274823"
"448","SNEB","China Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","nebulosus","Sebastes nebulosus","WoRMS","274824"
"451","SPAU","Bocaccio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","paucispinis","Sebastes paucispinis","WoRMS","274833"
"455","SPIN","Canary Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","pinniger","Sebastes pinniger","WoRMS","274836"
"458","SPUL","California Sheephead","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","WoRMS","282753"
"462","SRAS","Grass Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rastrelliger","Sebastes rastrelliger","WoRMS","274839"
"466","SROS","Rosy Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rosaceus","Sebastes rosaceus","WoRMS","274841"
"470","SRUB","Flag Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Sebastes rubrivinctus","WoRMS","274845"
"473","SSAG","Pacific Sardine","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","sagax","Sardinops sagax","WoRMS","217452"
"477","SSAX","Stripetail Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","saxicola","Sebastes saxicola","WoRMS","274848"
"481","SSEM","Halfbanded Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Sebastes semicinctus","WoRMS","274851"
"485","STICH","Pricklebacks","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Stichaeidae","spp","Stichaeidae","WoRMS","125566"
"488","STRE","Treefish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serriceps","Sebastes serriceps","WoRMS","274853"
"492","SUMB","Honeycomb Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Sebastes umbrosus","WoRMS","274862"
"495","SXYR","Rainbow scorpionfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaenodes","xyris","Scorpaenodes xyris","WoRMS","274756"
"496","SYNG","Pipefish","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","spp","Syngnathus","WoRMS","126227"
